DC,KID,LPH,Mass,Prot,Prot_err,Teff,logg,w
0,892376,0.823,0.4699,1.5319999999999998,0.006999999999999999,3813,4.47,0.4503
0,1026146,1.405,0.6472,14.890999999999998,0.12,4261,4.57,0.7229
0,1026474,1.204,0.5914,1.569,0.006,4122,4.56,0.6061
1,1162635,0.978,0.4497,15.677999999999999,0.019,3760,4.77,0.5445
0,1164102,0.568,0.5606,31.496,0.474,4045,4.62,0.3939
1,1292688,0.53,0.455,42.659,2.131,3774,4.74,0.3172
0,1297303,0.777,0.6613,27.333000000000002,0.193,4296,4.61,0.5124
0,1429921,0.943,0.6295,23.131,0.11,4217,4.72,0.5839
0,1430349,0.376,0.6569,34.717,0.752,4285,4.54,0.2563
1,1430893,1.429,0.5133,17.045,0.026000000000000002,3925,4.72,0.7204
0,1431060,0.45799999999999996,0.6206,39.681999999999995,0.8490000000000001,4195,4.71,0.2904
0,1431116,0.696,0.6795,38.757,1.038,4341,4.61,0.402
0,1432700,0.619,0.665,31.733,0.263,4305,4.6,0.4368
0,1432745,1.308,0.6848,22.189,0.21899999999999997,4354,4.59,0.6561
0,1435229,0.9159999999999999,0.5626,23.469,0.027000000000000003,4050,4.52,0.5656
1,1569682,0.522,0.4869,17.354,0.222,3857,4.74,0.2989
1,1569863,1.5759999999999998,0.3862,13.321,0.369,3589,4.91,0.7713
0,1570915,1.228,0.5646,12.315,0.163,4055,4.56,0.6547
0,1571364,1.021,0.705,20.449,0.132,4404,4.6,0.6093
1,1572802,1.35,0.495,0.374,0.004,3878,4.73,0.6488
0,1573478,0.988,0.6359,18.018,0.24,4233,4.55,0.5708
1,1577265,0.9329999999999999,0.5028,15.152999999999999,0.12300000000000001,3898,4.7,0.5224
1,1718071,0.555,0.4869,21.712,0.20199999999999999,3857,4.77,0.3301
1,1721911,0.978,0.429,29.62,0.124,3705,4.81,0.5906
0,1722506,1.633,0.6509,10.652999999999999,0.073,4270,4.43,0.747
0,1849590,1.3530000000000002,0.5706,16.197,0.121,4070,4.4,0.7215
0,1865663,0.789,0.6347,31.319000000000003,0.016,4230,4.82,0.4965
1,1866535,0.565,0.4474,24.925,0.37799999999999995,3754,4.79,0.3473
0,1866924,0.8390000000000001,0.5894,27.24,0.27699999999999997,4117,4.58,0.5531
0,1866986,0.9420000000000001,0.4772,37.348,0.182,3832,4.52,0.5146
1,1867358,0.44799999999999995,0.3993,32.879,0.735,3625,4.82,0.297
0,1868579,0.535,0.5702,38.173,0.377,4069,4.67,0.3431
1,1870952,1.033,0.4989,24.278000000000002,0.273,3888,4.73,0.6339
0,1871120,1.004,0.5472,37.851,0.46299999999999997,4011,4.72,0.5253
0,1872885,1.5119999999999998,0.4226,1.8719999999999999,0.003,3688,4.32,0.7115
1,1873523,0.9890000000000001,0.5169,20.429000000000002,0.441,3934,4.72,0.5791
0,1873543,0.953,0.4279,11.548,0.11199999999999999,3702,4.52,0.5216
0,1996574,0.449,0.5954,20.48,0.225,4132,4.59,0.2564
0,2010738,1.023,0.5694,26.741,0.105,4067,4.55,0.5969
1,2012731,0.804,0.3441,36.258,0.23800000000000002,3471,4.98,0.5086
0,2013627,1.214,0.5762,13.96,0.32799999999999996,4084,4.57,0.6601
0,2013754,1.5290000000000001,0.6549,4.9,0.003,4280,4.57,0.7527
0,2014203,1.4669999999999999,0.6235,10.796,0.237,4202,4.57,0.7634
0,2015703,0.993,0.6682,22.448,0.052000000000000005,4313,4.63,0.6111
0,2015767,0.772,0.5738,18.502,0.20800000000000002,4078,4.53,0.4547
0,2016979,0.782,0.6904,17.253,0.23600000000000002,4368,4.69,0.45
0,2017692,1.37,0.6428,11.431,0.114,4250,4.62,0.726
0,2018383,0.5670000000000001,0.6496,30.372,0.588,4267,4.46,0.3824
0,2020185,1.117,0.6585,21.537,0.1,4289,4.65,0.6499
0,2020638,0.78,0.6779,18.35,0.057999999999999996,4337,4.7,0.4541
0,2140909,0.643,0.5982,38.622,0.379,4139,4.8,0.3873
1,2142372,0.8340000000000001,0.429,18.641,0.02,3705,4.81,0.4834
1,2142451,0.431,0.348,33.671,0.6920000000000001,3482,4.86,0.2836
0,2156061,0.8009999999999999,0.5766,30.03,1.253,4085,4.45,0.5163
0,2156718,0.536,0.613,21.665,0.349,4176,4.51,0.3181
1,2157356,1.43,0.4085,13.607000000000001,0.046,3650,4.87,0.7363
0,2160105,1.25,0.684,17.089000000000002,0.93,4352,4.66,0.7004
0,2161569,0.865,0.6642,21.366,0.083,4303,4.48,0.5207
1,2162907,0.991,0.4765,26.5,0.10400000000000001,3830,4.74,0.6096
0,2163101,1.146,0.5874,25.636999999999997,0.133,4112,4.64,0.6238
1,2163610,0.439,0.5086,42.246,0.18899999999999997,3913,4.71,0.2603
