,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
0,892376,3813,4.47,0.4699,1.5319999999999998,0.006999999999999999,7306.69,0.823,0.4503,0,---
1,1026146,4261,4.57,0.6472,14.890999999999998,0.12,11742.56,1.405,0.7229,0,---
2,1026474,4122,4.56,0.5914,1.569,0.006,30471.8,1.204,0.6061,0,---
3,1162635,3760,4.77,0.4497,15.677999999999999,0.019,10207.47,0.978,0.5445,1,---
4,1164102,4045,4.62,0.5606,31.496,0.474,5139.74,0.568,0.3939,0,---
5,1292688,3774,4.74,0.455,42.659,2.131,6320.15,0.53,0.3172,1,---
6,1297303,4296,4.61,0.6613,27.333000000000002,0.193,6189.53,0.777,0.5124,0,---
7,1429921,4217,4.72,0.6295,23.131,0.11,15370.91,0.943,0.5839,0,---
8,1430349,4285,4.54,0.6569,34.717,0.752,3244.49,0.376,0.2563,0,---
9,1430893,3925,4.72,0.5133,17.045,0.026000000000000002,13583.24,1.429,0.7204,1,---
10,1431060,4195,4.71,0.6206,39.681999999999995,0.8490000000000001,4701.32,0.45799999999999996,0.2904,0,---
11,1431116,4341,4.61,0.6795,38.757,1.038,5648.64,0.696,0.402,0,---
12,1432700,4305,4.6,0.665,31.733,0.263,5284.55,0.619,0.4368,0,---
13,1432745,4354,4.59,0.6848,22.189,0.21899999999999997,17414.45,1.308,0.6561,0,---
14,1435229,4050,4.52,0.5626,23.469,0.027000000000000003,4784.67,0.9159999999999999,0.5656,0,---
15,1569682,3857,4.74,0.4869,17.354,0.222,4018.49,0.522,0.2989,1,---
16,1569863,3589,4.91,0.3862,13.321,0.369,30052.33,1.5759999999999998,0.7713,1,---
17,1570915,4055,4.56,0.5646,12.315,0.163,9095.55,1.228,0.6547,0,---
18,1571364,4404,4.6,0.705,20.449,0.132,7352.71,1.021,0.6093,0,---
19,1572802,3878,4.73,0.495,0.374,0.004,70335.54,1.35,0.6488,1,---
20,1573478,4233,4.55,0.6359,18.018,0.24,9514.27,0.988,0.5708,0,---
21,1577265,3898,4.7,0.5028,15.152999999999999,0.12300000000000001,10275.54,0.9329999999999999,0.5224,1,---
22,1718071,3857,4.77,0.4869,21.712,0.20199999999999999,5137.03,0.555,0.3301,1,---
23,1721911,3705,4.81,0.429,29.62,0.124,4048.94,0.978,0.5906,1,---
24,1722506,4270,4.43,0.6509,10.652999999999999,0.073,32481.25,1.633,0.747,0,---
25,1849590,4070,4.4,0.5706,16.197,0.121,10345.22,1.3530000000000002,0.7215,0,---
26,1865663,4230,4.82,0.6347,31.319000000000003,0.016,9731.26,0.789,0.4965,0,---
27,1866535,3754,4.79,0.4474,24.925,0.37799999999999995,3210.84,0.565,0.3473,1,---
28,1866924,4117,4.58,0.5894,27.24,0.27699999999999997,7349.79,0.8390000000000001,0.5531,0,---
29,1866986,3832,4.52,0.4772,37.348,0.182,8532.76,0.9420000000000001,0.5146,0,---
30,1867358,3625,4.82,0.3993,32.879,0.735,4835.13,0.44799999999999995,0.297,1,---
31,1868579,4069,4.67,0.5702,38.173,0.377,5494.77,0.535,0.3431,0,---
32,1870952,3888,4.73,0.4989,24.278000000000002,0.273,8661.33,1.033,0.6339,1,---
33,1871120,4011,4.72,0.5472,37.851,0.46299999999999997,5451.74,1.004,0.5253,0,---
34,1872885,3688,4.32,0.4226,1.8719999999999999,0.003,60773.37,1.5119999999999998,0.7115,0,---
35,1873523,3934,4.72,0.5169,20.429000000000002,0.441,6629.11,0.9890000000000001,0.5791,1,---
36,1873543,3702,4.52,0.4279,11.548,0.11199999999999999,12257.75,0.953,0.5216,0,---
37,1996574,4132,4.59,0.5954,20.48,0.225,3632.31,0.449,0.2564,0,---
38,2010738,4067,4.55,0.5694,26.741,0.105,9747.68,1.023,0.5969,0,---
39,2012731,3471,4.98,0.3441,36.258,0.23800000000000002,9061.6,0.804,0.5086,1,---
40,2013627,4084,4.57,0.5762,13.96,0.32799999999999996,4507.06,1.214,0.6601,0,---
41,2013754,4280,4.57,0.6549,4.9,0.003,14074.56,1.5290000000000001,0.7527,0,---
42,2014203,4202,4.57,0.6235,10.796,0.237,17550.83,1.4669999999999999,0.7634,0,---
43,2015703,4313,4.63,0.6682,22.448,0.052000000000000005,12041.84,0.993,0.6111,0,---
44,2015767,4078,4.53,0.5738,18.502,0.20800000000000002,6944.72,0.772,0.4547,0,---
45,2016979,4368,4.69,0.6904,17.253,0.23600000000000002,7871.45,0.782,0.45,0,SM1
46,2017692,4250,4.62,0.6428,11.431,0.114,22345.13,1.37,0.726,0,---
47,2018383,4267,4.46,0.6496,30.372,0.588,6466.69,0.5670000000000001,0.3824,0,---
48,2020185,4289,4.65,0.6585,21.537,0.1,14884.95,1.117,0.6499,0,---
49,2020638,4337,4.7,0.6779,18.35,0.057999999999999996,9859.5,0.78,0.4541,0,---
50,2140909,4139,4.8,0.5982,38.622,0.379,5515.64,0.643,0.3873,0,---
51,2142372,3705,4.81,0.429,18.641,0.02,7038.35,0.8340000000000001,0.4834,1,---
52,2142451,3482,4.86,0.348,33.671,0.6920000000000001,4652.62,0.431,0.2836,1,---
53,2156061,4085,4.45,0.5766,30.03,1.253,6833.05,0.8009999999999999,0.5163,0,---
54,2156718,4176,4.51,0.613,21.665,0.349,5622.15,0.536,0.3181,0,---
55,2157356,3650,4.87,0.4085,13.607000000000001,0.046,16120.61,1.43,0.7363,1,---
